model,season,parameter,mean,lower_95,upper_95
model_1,NA,alpha,2.19758613046162,1.8579219054881237,2.543225871006317
model_2,NA,alpha_intercept,2.7180240868172083,2.024753267579574,3.445470996202187
model_2,NA,alpha_trend,-0.049411029785792385,-0.11025526487018367,0.006858251745217855
model_3,2004,alpha,2.324345448748771,0.8735210696842824,3.7754727796969414
model_3,2005,alpha,3.2170082130214177,1.6853644999494997,4.730037792853462
model_3,2006,alpha,0.8754128149623052,-0.568635978322853,2.3340431040070904
model_3,2007,alpha,2.5396579779357387,1.0989899397258862,4.005054799692744
model_3,2008,alpha,2.208570243490197,0.762543607853221,3.6491339958142572
model_3,2009,alpha,2.281545870012124,0.8571833062039868,3.6688155490633756
model_3,2010,alpha,1.664046399983798,0.2116364745472889,3.1108604738684065
model_3,2011,alpha,3.0055100166986124,1.6042520665101292,4.417623703854796
model_3,2012,alpha,2.3343784303400623,0.8821177169065407,3.78516431827437
model_3,2013,alpha,2.805907859854828,1.3429350910190179,4.259646047950674
model_3,2014,alpha,2.319348713612017,0.8364933803684651,3.7817182123264153
model_3,2015,alpha,1.36241737541009,-0.08300729540284178,2.8159121982232858
model_3,2016,alpha,2.603734030413335,1.1051964146087205,4.088339497955416
model_3,2017,alpha,2.171667088196026,0.7489103388447177,3.6097959528408383
model_3,2018,alpha,1.9788289483396553,0.5646766887316935,3.3926732954132035
model_3,2019,alpha,-0.041028975129993726,-1.5124550676729132,1.423914820696704
model_3,2020,alpha,0.10485721589066963,-1.348171629482692,1.5614359497941872
model_3,2021,alpha,1.5288878487053208,0.09164842095426423,2.934505683826027
model_3,2022,alpha,1.9686617488748905,0.4980572455884387,3.4265705741403245
model_3,2023,alpha,2.4902423308467196,1.0673695265823917,3.9021110746388117
